Tasks	'PIP p'	'PIP v'	'PCP p'	'PCP v'	'IPCP p'	'IPCP v'	'SRP p'	'SRP v'
0	1.71875	5.25	1.9375	5.03125	1.4375	5	6.625	10.09375
1	4.5625	6.21875	4.21875	5.03125	4.1875	5	6.625	10.34375
2	5.1875	6.21875	5.03125	5.03125	5	4.9375	6.625	10.0625
3	5.59375	6.21875	5.5625	5.03125	5.53125	4.9375	6.625	10.34375
4	6.25	6.25	6.21875	4.96875	6.1875	4.9375	6.625	10.0625
5	6.90625	6.21875	6.875	5	6.84375	4.9375	6.84375	10.34375
6	7.5625	6.1875	7.53125	5.03125	7.5	4.9375	6.84375	10.0625
7	8.21875	6.15625	8.1875	5.0625	8.15625	4.9375	6.84375	10.28125
8	8.875	6.25	8.84375	5.09375	8.8125	4.875	6.84375	10
9	9.53125	6.15625	9.5	5.125	9.46875	4.875	6.84375	10.3125
10	10.1875	6.28125	10.15625	5.15625	10.125	4.875	6.84375	10
11	10.84375	6.15625	10.8125	4.9375	10.78125	4.875	6.84375	10.3125
12	11.5	6.3125	11.46875	5.03125	11.4375	4.875	6.84375	10
13	12.15625	6.15625	12.125	4.96875	12.09375	4.875	6.84375	10.3125
14	12.8125	6.34375	12.78125	5.03125	12.75	4.875	6.84375	10
15	13.46875	6.15625	13.4375	5.03125	13.40625	4.875	6.84375	10.3125
16	14.125	6.375	14.09375	5.03125	14.0625	4.875	6.625	10
17	14.78125	6.15625	14.71875	4.9375	14.71875	4.875	6.625	10.3125
18	15.4375	6.40625	15.40625	4.96875	15.375	4.875	6.625	10
19	16.09375	6.15625	16.09375	4.96875	16.03125	4.875	6.625	10.3125
