Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.832 0.83 0.836 0.834 0.836 0.834 0.836 0.834 
0.3 0.586 0.584 0.621 0.621 0.621 0.621 0.633 0.631 
0.4 0.375 0.372 0.441 0.439 0.441 0.439 0.461 0.46 
0.5 0.18 0.177 0.255 0.25 0.255 0.25 0.274 0.272 
0.6 0.108 0.106 0.196 0.194 0.196 0.194 0.221 0.219 
0.7 0.057 0.057 0.124 0.122 0.124 0.122 0.145 0.143 
0.8 0.004 0.004 0.008 0.005 0.008 0.005 0.101 0.097 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.068 0.066 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.044 0.035 
