Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.995 0.995 0.995 0.995 0.995 0.995 0.995 0.995 
0.3 0.982 0.982 0.989 0.989 0.989 0.989 0.994 0.993 
0.4 0.948 0.945 0.965 0.96 0.965 0.96 0.979 0.971 
0.5 0.92 0.912 0.954 0.948 0.954 0.948 0.97 0.963 
0.6 0.882 0.872 0.922 0.914 0.922 0.914 0.953 0.945 
0.7 0.841 0.816 0.898 0.872 0.898 0.872 0.935 0.921 
0.8 0.047 0.028 0.047 0.028 0.047 0.028 0.913 0.896 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.885 0.867 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.871 0.668 
