Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.911 0.911 0.911 0.911 0.911 0.911 0.911 0.911 
0.4 0.674 0.671 0.679 0.676 0.679 0.676 0.679 0.676 
0.5 0.468 0.465 0.508 0.504 0.508 0.504 0.511 0.506 
0.6 0.325 0.322 0.42 0.414 0.42 0.414 0.426 0.42 
0.7 0.232 0.228 0.373 0.369 0.373 0.369 0.381 0.376 
0.8 0.107 0.104 0.215 0.196 0.215 0.196 0.294 0.284 
0.9 0.022 0.017 0.044 0.031 0.044 0.031 0.232 0.226 
1.0 0.001 0.0 0.001 0.0 0.001 0.0 0.21 0.178 
