Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 1.0 1.0 0.773 0.773 0.773 0.773 1.0 1.0 
0.4 0.978 0.978 0.211 0.211 0.211 0.211 1.0 1.0 
0.5 0.832 0.832 0.013 0.013 0.013 0.013 1.0 1.0 
0.6 0.576 0.575 0.0 0.0 0.0 0.0 0.995 0.994 
0.7 0.251 0.25 0.0 0.0 0.0 0.0 0.833 0.832 
0.8 0.065 0.065 0.001 0.001 0.001 0.001 0.316 0.313 
0.9 0.007 0.007 0.001 0.001 0.001 0.001 0.049 0.047 
1.0 0.001 0.001 0.0 0.0 0.0 0.0 0.002 0.002 
