Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 
0.4 0.997 0.997 0.997 0.997 0.997 0.997 0.997 0.997 
0.5 0.989 0.986 0.989 0.986 0.989 0.986 0.991 0.987 
0.6 0.975 0.971 0.982 0.978 0.982 0.978 0.983 0.978 
0.7 0.958 0.953 0.969 0.963 0.969 0.963 0.97 0.967 
0.8 0.675 0.618 0.682 0.626 0.682 0.626 0.96 0.951 
0.9 0.194 0.16 0.197 0.167 0.197 0.167 0.952 0.946 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.929 0.801 
