Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 1.0 1.0 0.794 0.794 0.794 0.794 1.0 1.0 
0.4 0.977 0.977 0.255 0.255 0.255 0.255 1.0 1.0 
0.5 0.821 0.821 0.01 0.01 0.01 0.01 1.0 1.0 
0.6 0.551 0.548 0.007 0.007 0.007 0.007 0.994 0.994 
0.7 0.258 0.256 0.001 0.001 0.001 0.001 0.821 0.813 
0.8 0.064 0.064 0.001 0.001 0.001 0.001 0.361 0.349 
0.9 0.003 0.003 0.0 0.0 0.0 0.0 0.051 0.05 
1.0 0.001 0.001 0.001 0.001 0.001 0.001 0.002 0.002 
