PIP PCP IPCP SRP
6,96875 6,96875 6,4375 16,71875
10,78125 9,25 9,1875 19,8125
11,40625 10,0625 9,9375 20,15625
11,8125 10,59375 10,46875 20,84375
12,5 11,1875 11,125 21,21875
13,125 11,875 11,78125 22,15625
13,75 12,5625 12,4375 22,53125
14,375 13,25 13,09375 23,40625
15,125 13,9375 13,6875 23,78125
15,6875 14,625 14,34375 24,75
16,46875 15,3125 15 25,09375
17 15,75 15,65625 26,0625
17,8125 16,5 16,3125 26,40625
18,3125 17,09375 16,96875 27,375
19,15625 17,8125 17,625 27,71875
19,625 18,46875 18,28125 28,6875
20,5 19,125 18,9375 29,03125
20,9375 19,65625 19,59375 30
21,84375 20,375 20,25 30,34375
22,25 21,0625 20,90625 31,3125
